CatID	RA_06	DEC_06	round(B_06,8)	round(B_06_ERR,8)	round(V_06,8)	round(V_06_ERR,8)	round(R_06,8)	round(R_06_ERR,8)	round(I_MAG_AUTO_06,8)	AUTO_FLAG_06	round(I_06_ERR,8)	round(I_CFHT_06_ERR,8)	round(Z_06,8)	round(Z_06_ERR,8)	Z_BEST	round(RH,8)	round(LOGMASS_06,8)	Z_USE
6008306.00000000	150.22146606	2.27585506	-999.98999023	-999.98999023	-999.98999023	-999.98999023	-999.98999023	-999.98999023	15.48149967	2.00000000	-999.98999023	-999.98999023	-999.98999023	-999.98999023	0.00000270	7.55201006	-999.98999023	3.00000000
6267126.00000000	150.66172791	2.31777811	23.48069954	0.03410000	22.97760010	0.02300000	22.76490021	0.02080000	22.21120071	1.00000000	0.01810000	0.07730000	22.15780067	0.01840000	0.00001144	8.05422497	9.39799976	3.00000000
6332165.00000000	150.21200562	2.53916907	22.58119965	0.02250000	21.94219971	0.01420000	21.55489922	0.01180000	20.62109947	1.00000000	0.00840000	0.01940000	20.29140091	0.00710000	0.00003618	2.79779291	6.87500000	3.00000000
6228106.00000000	150.41804504	2.13485503	17.93090057	0.00260000	-999.98999023	-999.98999023	-999.98999023	-999.98999023	17.42770004	2.00000000	-999.98999023	0.00200000	-999.98999023	-999.98999023	0.00020000	5.38880301	-999.98999023	1.00000000
6232234.00000000	150.32290649	2.16556001	20.17300034	0.00730000	20.21579933	0.00630000	20.29360008	0.00660000	19.80489922	2.00000000	-999.98999023	0.00920000	19.61000061	0.00490000	0.00040000	3.09600592	11.30799961	1.00000000
6027045.00000000	150.32771301	2.27708292	24.91869926	0.06900000	24.33149910	0.04510000	23.79949951	0.03420000	22.50029945	1.00000000	0.02140000	0.09040000	22.03249931	0.01710000	0.00047107	24.66456795	10.79399967	3.00000000
6027263.00000000	150.38491821	2.40661192	22.91640091	0.02630000	22.65600014	0.01990000	22.40559959	0.01760000	21.45450020	1.00000000	0.01370000	0.04820000	21.06159973	0.01040000	0.00050426	14.69668388	11.33199978	3.00000000
6012907.00000000	150.48069763	2.17095709	23.09510040	0.02860000	23.11350060	0.02520000	23.09790039	0.02490000	22.29619980	1.00000000	0.01930000	0.08370000	22.23990059	0.02150000	0.00060857	17.21002388	10.18099976	3.00000000
6330562.00000000	150.13223267	2.58793712	20.43339920	0.00830000	20.27529907	0.00650000	20.32320023	0.00680000	20.10899925	2.00000000	-999.98999023	0.01100000	20.13809967	0.00650000	0.00410000	2.91570711	8.27200031	4.00000000
6275976.00000000	150.37077332	2.42084193	24.32489967	0.05350000	23.50429916	0.03120000	23.12409973	0.02590000	22.30780029	1.00000000	0.02080000	0.12000000	22.44739914	0.02440000	0.00413508	11.26489639	9.22399998	3.00000000
